#Source  output Signal,Width,Source Module,Source Instance,F/T TLM1 ,F/T TLM2,F/T TLM13,Destination Module,Destination Instance,Destination  input Signal,Width,
so                        ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_so                         ,      ,
odt1                      ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_odt1                       ,      ,
odt0                      ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_odt0                       ,      ,
controller_int            ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_controller_int             ,      ,
mem_rst_valid             ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_mem_rst_valid              ,      ,
q_almost_full             ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_q_almost_full              ,      ,
controller_busy           ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_controller_busy            ,      ,
port_busy                 , [1:0],ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_port_busy                  , [1:0],
refresh_in_process        ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_refresh_in_process         ,      ,
dfi_init_complete         ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_dfi_init_complete          ,      ,
dfi_init_start            ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_dfi_init_start             ,      ,
freq_change_req_type      , [1:0],ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_freq_change_req_type       , [1:0],
freq_change_ack           ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_freq_change_ack            ,      ,
cntrl_freq_change_req_type, [1:0],ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_cntrl_freq_change_req_type , [1:0],
cntrl_freq_change_ack     ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_cntrl_freq_change_ack      ,      ,
freq_change_req           ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_freq_change_req            ,      ,
cntrl_freq_change_req     ,      ,ddr_wraper,lpddr0,tule512_wrapper,tule64_wrapper,,sys_top,sys_top_i,lpddr0_cntrl_freq_change_req      ,      ,
